year mon day hour minute sec lat lot dep mag
2022 4 14 2 7 18.28 29.348633 108.075993 2.25 0.65
2022 4 14 2 26 16.66 29.316199 107.970304 2.6 0.52
2022 4 14 2 33 53.84 29.337498 107.973804 1.73 0.29
2022 4 14 3 25 22.2 29.320723 107.951831 1.83 0.12
2022 4 14 3 32 45.6 29.299563 107.903638 3.57 1.3
2022 4 14 3 34 10.98 29.319159 107.951359 2.83 0.31
2022 4 14 4 16 17.64 29.316553 107.968473 2.8 1.13
2022 4 14 5 15 49.68 29.370726 107.920516 7.43 0.21
2022 4 14 5 26 40.16 29.331439 107.956543 1.66 1.3
2022 4 14 5 56 22.08 29.398165 107.942822 2.67 -0.09
2022 4 14 6 36 43.08 29.290407 107.843587 4.83 0.18
2022 4 14 6 51 0.44 29.350553 108.078434 1.89 0.57
2022 4 14 7 22 7.64 29.364439 108.03361 1.76 0.5
2022 4 14 7 51 7.76 29.316429 108.208773 3.78 0.71
2022 4 14 10 8 16.47 29.317352 107.917 3.07 0.36
2022 4 14 10 10 56.32 29.321104 107.947331 3.22 0.06
2022 4 14 10 43 26.84 29.30941 107.971004 1.73 0.03
2022 4 14 11 13 36.41 29.344309 108.085856 0.72 -0.08
2022 4 14 11 51 8.82 29.351473 107.987207 3.6 0.73
2022 4 14 11 52 28.73 29.322742 108.165308 3.82 0.85
2022 4 14 13 28 48.72 29.31967 107.930802 3.73 0.25
2022 4 14 13 29 11.79 29.349003 108.077181 1.71 0.19
2022 4 14 13 45 50.78 29.307855 107.907788 2.35 0.12
2022 4 14 14 0 54.77 29.422461 107.950928 1.83 -0.12
2022 4 14 14 4 15.98 29.3376 107.974007 1.74 0.36
2022 4 14 14 15 46.39 29.284782 108.040633 2.29 -0.16
2022 4 14 14 36 52.15 29.250553 108.106299 4.87 0.46
2022 4 14 15 43 26.73 29.248336 108.10415 4.27 0.54
2022 4 14 15 45 22.01 29.395756 107.8979 3.94 0.36
2022 4 14 16 35 28.16 29.36791 107.920011 6.2 0.41
2022 4 14 16 36 43.35 29.363395 107.922013 6.99 0.44
2022 4 14 16 41 33.07 29.357239 107.925448 6.94 0.24
2022 4 14 16 47 4.22 29.328412 107.957593 2.24 0.04
2022 4 14 16 49 13.86 29.361353 107.923665 7.27 0.19
2022 4 14 17 3 25.37 29.322123 107.946037 3.28 0.11
2022 4 14 17 19 14.04 29.364142 108.031966 1.49 0.42
2022 4 14 17 22 48.6 29.315613 107.918522 2.33 0.53
2022 4 14 17 41 31.57 29.347888 108.076261 1.63 0.06
2022 4 14 17 54 21.38 29.313373 107.919246 2.51 -0.09
2022 4 14 18 0 14.37 29.363767 108.020313 3.4 0.54
2022 4 14 18 2 14.59 29.330841 107.955697 2.35 0.15
2022 4 14 18 27 10.96 29.317613 107.917489 3.04 0.41
2022 4 14 19 10 59.52 29.292328 107.881706 4.45 0.68
2022 4 14 19 12 39.35 29.359941 108.017798 3.02 -0.02
2022 4 14 20 55 36.86 29.348596 108.073934 0.94 0.71
2022 4 14 21 8 56.46 29.337197 107.974137 2.34 -0.13
2022 4 14 21 27 16.18 29.274294 107.833146 5.61 -0.03
2022 4 14 22 2 39.31 29.282839 107.843156 4.69 0.2
2022 4 14 22 17 34.74 29.31298 107.909741 3.2 -0.06
2022 4 14 22 24 25.91 29.301237 107.905461 3.17 0.53
2022 4 14 22 33 14.24 29.385579 107.954793 6.4 -0.04
2022 4 14 23 52 36.91 29.343972 108.086157 1.25 0.49
2022 4 15 0 8 20.09 29.362384 108.032381 1.09 0.51
2022 4 15 2 45 55.2 29.317513 107.917114 3.06 0.01
2022 4 15 3 22 33.28 29.320748 107.950317 2.1 0.33
2022 4 15 4 42 5.6 29.320426 107.950358 2.07 0.0
2022 4 15 5 1 30.6 29.279942 107.841178 4.9 -0.37
2022 4 15 5 27 41.66 29.272896 107.8434 6.4 -0.16
2022 4 15 5 37 14.7 29.282939 107.843571 4.93 -0.31
2022 4 15 6 8 10.96 29.315786 108.192619 3.35 0.66
2022 4 15 7 37 12.02 29.361515 108.029443 1.17 0.37
2022 4 15 7 37 59.48 29.337677 107.973844 1.64 0.08
2022 4 15 7 41 2.06 29.286953 108.041366 1.81 0.41
